Bölüm,KaynakURL,Tarih Tarih,Anket şirketi Anket şirketi,Örneklem Örneklem,AKP Unnamed: 3_level_1,CHP Unnamed: 4_level_1,TİP Unnamed: 5_level_1,İYİ Unnamed: 6_level_1,DEM Unnamed: 7_level_1,YRP Unnamed: 8_level_1,ZP Unnamed: 9_level_1,Diğerleri Diğerleri,Kararsız Kararsız,Fark Fark,SP Unnamed: 4_level_1,CHP Unnamed: 5_level_1,ZP Unnamed: 6_level_1,YRP Unnamed: 5_level_1,CHP Unnamed: 3_level_1,AKP Unnamed: 4_level_1,MHP Unnamed: 3_level_1,İYİ Unnamed: 4_level_1,BBP Unnamed: 6_level_1,DSP Unnamed: 4_level_1,AKP Unnamed: 5_level_1,TKP Unnamed: 6_level_1,TİP Unnamed: 7_level_1,SOL Unnamed: 8_level_1,BBP Unnamed: 4_level_1,İYİ Unnamed: 5_level_1,DP Unnamed: 5_level_1,DEM Unnamed: 8_level_1,CHP Unnamed: 6_level_1,ZP Unnamed: 7_level_1,BBP Unnamed: 5_level_1,SP Unnamed: 5_level_1,TİP Unnamed: 4_level_1,DSP Unnamed: 6_level_1,YRP Unnamed: 4_level_1
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,,,,,,,2024,,2024,,,,,,,,,,,,,,,2024.0,2024.0,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,32.034,55,,,,,,,1,,119,,,,,,,,,,,,,,,9.0,431.0,,,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,534,314,,82,,,,—,,220,,,,,,,,,,,,,—,,,,—,21,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,7-8 Mart,Betimar,1.573,503,314,,72,,,,77,,189,,,,,,,,,,,,,3,,,,—,24,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,2024,,2024,,,,2024,,2024,,,,,,,,,,,,,2024,,,,2024,2024,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,142.557,403,366,,—,,,,18,,37,,,,,,,,,,,,,—,,,,213,—,,,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,571,,,,,,,—,,235,,,,336,,,,—,,,,,,,,,,,53,34,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2024,2024,2024,2024,,,,,,,2024,,2024,,,,2024,,,,2024,,,,,,,,,,,2024,2024,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,63.000,588,,,,,,,35,,202,,,,—,,,,386,,,,,,,,,,,—,—,,,,,
Hatay,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,Optimar,?,,144,,,,,,—,,130,,,,,,,342.0,,,,,,,,,,,,,,452.0,,,,
